day	week	month	year	mu	sigma	nu
1689.2812	241.3259	55.5	4.625	75.3	0.0323	1
1704.5	243.5	56	4.6667	75.42	0.0322	1
1719.7188	245.6741	56.5	4.7083	75.53	0.0321	1
1734.9375	247.8482	57	4.75	75.64	0.032	1
1750.1562	250.0223	57.5	4.7917	75.76	0.032	1
1765.375	252.1964	58	4.8333	75.87	0.0319	1
1780.5938	254.3705	58.5	4.875	75.98	0.0318	1
1795.8125	256.5446	59	4.9167	76.09	0.0318	1
1811.0312	258.7188	59.5	4.9583	76.2	0.0317	1
1826.25	260.8929	60	5	76.31	0.0316	1
