key	item	tau
gsed2510	gh1lgc001	9.93
gsed2510	gh1sec002	11.5
gsed2510	gh1lgc003	11.97
gsed2510	gh1sec004	16.25
gsed2510	gh1moc005	15.69
gsed2510	gh1lgc006	15.26
gsed2510	gh1sec007	15.56
gsed2510	gh1clc008	16.79
gsed2510	gh1clc009	17.18
gsed2510	gh1gmc010	16.74
gsed2510	gh1sec011	21.47
gsed2510	gh1gmc012	20.74
gsed2510	gh1moc013	21.2
gsed2510	gh1clc014	24.73
gsed2510	gh1moc015	24.14
gsed2510	gh1moc016	28.35
gsed2510	gh1moc017	29.1
gsed2510	gh1moc018	28.33
gsed2510	gh1moc019	28.22
gsed2510	gh1moc020	29.71
gsed2510	gh1clc021	31.58
gsed2510	gh1moc022	31.86
gsed2510	gh1sec023	35.67
gsed2510	gh1moc024	37.97
gsed2510	gh1moc025	39.2
gsed2510	gh1moc026	39.8
gsed2510	gh1lgc027	42.11
gsed2510	gh1moc028	42.41
gsed2510	gh1lgc029	45.11
gsed2510	gh1moc030	46.38
gsed2510	gh1sec031	49.02
gsed2510	gh1moc032	48.16
gsed2510	gh1moc033	47.67
gsed2510	gh1moc034	49.54
gsed2510	gh1lgc035	49.74
gsed2510	gh1sec036	50.04
gsed2510	gh1moc037	51.28
gsed2510	gh1gmc038	50.48
gsed2510	gh1moc039	52.5
gsed2510	gh1clc040	54.78
gsed2510	gh1clc041	57.77
gsed2510	gh1moc042	58.07
gsed2510	gh1xxc043	59.29
gsed2510	gh1clc044	59.21
gsed2510	gh1cmc045	60.55
gsed2510	gh1clc046	64.63
gsed2510	gh1moc047	64.01
gsed2510	gh1clc048	67.22
