key	item	tau
293_0	gpalac001	4.57
293_0	gpacgc002	6.9
293_0	gpafmc003	5.77
293_0	gpasec004	1.1
293_0	gpamoc005	8.14
293_0	gpamoc006	3.22
293_0	gpaclc007	8.32
293_0	gpalac009	15.25
293_0	gpasec010	8.26
293_0	gpamoc011	7.47
293_0	gpalgc012	9.3
293_0	gpagmc013	18.65
293_0	gpasec014	10.86
293_0	gpasec015	3.6
293_0	gpasec016	8.88
293_0	gpamoc017	15.66
293_0	gpagmc018	23.41
293_0	gpalgc019	16.03
293_0	gpasec020	15.39
293_0	gpalgc021	12.61
293_0	gpalgc022	18.79
293_0	gpaclc023	17.42
293_0	gpamoc024	21.12
293_0	gpasec025	16.04
293_0	gpamoc026	13.24
293_0	gpalgc027	28.43
293_0	gpamoc028	28.69
293_0	gpamoc029	26.7
293_0	gpagmc030	27.52
293_0	gpasec031	16.98
293_0	gpasec032	17.81
293_0	gpaclc033	17.39
293_0	gpaclc034	25.64
293_0	gpamoc035	28.36
293_0	gpagmc036	32.59
293_0	gpamoc037	23.05
293_0	gpamoc038	30.14
293_0	gpasec039	28.54
293_0	gpamoc040	28.89
293_0	gpamoc041	29.66
293_0	gpamoc042	29.53
293_0	gpamoc043	30.2
293_0	gpamoc044	28.92
293_0	gpasec045	20.2
293_0	gpaclc046	31.41
293_0	gpaclc047	31.35
293_0	gpaclc048	32.53
293_0	gpamoc049	31.59
293_0	gpamoc050	36.65
293_0	gpalgc051	32.63
293_0	gpamoc052	34.68
293_0	gpamoc053	38.39
293_0	gpamoc054	37.43
293_0	gpagmc055	43.21
293_0	gpamoc056	40.1
293_0	gpagmc057	43.47
293_0	gpamoc058	37.63
293_0	gpalgc059	41.17
293_0	gpamoc060	42.33
293_0	gpamoc061	46.34
293_0	gpamoc062	47.58
293_0	gpamoc063	48.78
293_0	gpasec064	35.45
293_0	gpamoc065	48.06
293_0	gpamoc066	49.6
293_0	gpagmc067	50.6
293_0	gpalgc068	44.73
293_0	gpagmc069	50.17
293_0	gpamoc070	48.97
293_0	gpamoc071	50.23
293_0	gpalgc072	49.34
293_0	gpaxxc073	49.36
293_0	gpaxxc074	48.15
293_0	gpasec075	47.23
293_0	gpamoc076	49.9
293_0	gpamoc077	51.49
293_0	gpamoc078	51.66
293_0	gpamoc079	53.05
293_0	gpamoc080	57.08
293_0	gpalgc081	54.92
293_0	gpasec082	45.7
293_0	gpamoc083	58
293_0	gpamoc084	56.68
293_0	gpasec085	52.79
293_0	gpasec086	49.84
293_0	gpaxxc087	57.19
293_0	gpaclc088	53.97
293_0	gpasec089	63.17
293_0	gpacmc090	60.22
293_0	gpaclc091	60.86
293_0	gpaxxc092	56.72
293_0	gpaclc093	56.1
293_0	gpasec094	49.99
293_0	gpasec095	57.23
293_0	gpaclc096	56.03
293_0	gpamoc097	59.32
293_0	gpalgc098	60.55
293_0	gpalgc099	56.1
293_0	gpaclc100	63.2
293_0	gpaclc101	57.49
293_0	gpalgc102	59.88
293_0	gpamoc103	68.37
293_0	gpamoc104	63.53
293_0	gpaclc105	63.57
293_0	gpamoc106	64.14
293_0	gpaclc107	65.81
293_0	gpaclc108	64.35
293_0	gpasec109	67.7
293_0	gpamoc110	61.06
293_0	gpalgc111	65.97
293_0	gpaclc112	63.18
293_0	gpaclc113	65.72
293_0	gpasec114	69.48
293_0	gpaclc115	64.82
293_0	gpaclc116	66.09
293_0	gpaclc117	69.55
293_0	gpaclc118	74.57
293_0	gpaclc119	67.74
293_0	gpaclc120	67.69
293_0	gpaclc121	69.72
293_0	gpaclc122	74.43
293_0	gpasec123	70.54
293_0	gpaclc124	71.94
293_0	gpasec125	74.11
293_0	gpaclc126	72.24
293_0	gpalgc127	74.03
293_0	gpasec128	74.75
293_0	gpamoc129	76.6
293_0	gpasec130	62.29
293_0	gpalgc131	72.48
293_0	gpamoc132	75.89
293_0	gpamoc133	74.67
293_0	gpasec134	66.16
293_0	gpamoc135	72.23
293_0	gpasec136	79.27
293_0	gpasec137	65.55
293_0	gpaclc138	72.64
293_0	gpaclc139	74.91
293_0	gtofmd001	8.61
293_0	gtofmd002	13.81
293_0	gtofmd003	25.02
293_0	gtofmd004	26.19
293_0	gtofmd005	31.39
293_0	gtofmd006	28.79
293_0	gtofmd007	25.88
293_0	gtofmd008	43.13
293_0	gtofmd009	38.16
293_0	gtofmd010	37.6
293_0	gtofmd011	43.8
293_0	gtofmd012	44.79
293_0	gtofmd013	38.18
293_0	gtofmd014	45.32
293_0	gtofmd015	46.99
293_0	gtofmd016	50.4
293_0	gtofmd017	46.48
293_0	gtofmd018	49.91
293_0	gtofmd019	50.28
293_0	gtofmd020	48.57
293_0	gtofmd021	48.54
293_0	gtofmd022	48.79
293_0	gtofmd023	42.73
293_0	gtofmd024	53.89
293_0	gtofmd025	53.17
293_0	gtofmd026	58.75
293_0	gtofmd027	50.06
293_0	gtofmd028	57.38
293_0	gtofmd029	66.1
293_0	gtofmd030	65.05
293_0	gtofmd031	64.17
293_0	gtofmd032	54.14
293_0	gtofmd033	59.52
293_0	gtofmd034	73.53
293_0	gtofmd035	62.26
293_0	gtofmd036	66.23
293_0	gtofmd037	65.26
293_0	gtofmd038	70.26
293_0	gtofmd039	68.92
293_0	gtofmd040	68.66
293_0	gtofmd041	68.77
293_0	gtofmd042	70.1
293_0	gtofmd043	67.24
293_0	gtofmd044	74.5
293_0	gtofmd045	71.61
293_0	gtofmd046	74.54
293_0	gtofmd047	77.52
293_0	gtofmd048	75.27
293_0	gtofmd049	74.57
293_0	gtofmd050	77.98
293_0	gtofmd051	75.9
