key	item	tau
gsed2510	gl1gmd001	7.2
gsed2510	gl1gmd002	6.92
gsed2510	gl1gmd003	20.05
gsed2510	gl1gmd004	18.32
gsed2510	gl1gmd005	24.77
gsed2510	gl1gmd006	18.37
gsed2510	gl1gmd007	23.45
gsed2510	gl1gmd008	26.95
gsed2510	gl1gmd009	22.15
gsed2510	gl1gmd010	18.73
gsed2510	gl1gmd011	25.88
gsed2510	gl1gmd012	23.51
gsed2510	gl1gmd013	27.66
gsed2510	gl1gmd014	30.69
gsed2510	gl1gmd015	30.92
gsed2510	gl1gmd016	29.23
gsed2510	gl1gmd017	33.5
gsed2510	gl1gmd018	31.91
gsed2510	gl1gmd019	33.8
gsed2510	gl1gmd020	34.94
gsed2510	gl1gmd021	40.4
gsed2510	gl1gmd022	38.36
gsed2510	gl1gmd023	35.9
gsed2510	gl1gmd024	39.29
gsed2510	gl1gmd025	41.34
gsed2510	gl1gmd026	38.92
gsed2510	gl1gmd027	38.28
gsed2510	gl1gmd028	45.02
gsed2510	gl1gmd029	47.86
gsed2510	gl1gmd030	48.37
gsed2510	gl1gmd031	50.16
gsed2510	gl1gmd032	49.88
gsed2510	gl1gmd033	54.89
gsed2510	gl1gmd034	50.89
gsed2510	gl1gmd035	51.79
gsed2510	gl1gmd036	60.09
gsed2510	gl1gmd037	56.66
gsed2510	gl1gmd038	67.65
gsed2510	gl1gmd039	70.46
gsed2510	gl1gmd040	77.82
gsed2510	gl1gmd041	68.58
gsed2510	gl1gmd042	72.56
gsed2510	gl1gmd043	76.03
gsed2510	gl1gmd044	71.08
gsed2510	gl1gmd045	71.03
gsed2510	gl1gmd046	71.82
gsed2510	gl1gmd047	NA
gsed2510	gl1gmd048	76.41
gsed2510	gl1gmd049	82.38
gsed2510	gl1lgd001	NA
gsed2510	gl1lgd002	8.56
gsed2510	gl1lgd003	13.4
gsed2510	gl1lgd004	24.05
gsed2510	gl1lgd005	NA
gsed2510	gl1lgd006	22.42
gsed2510	gl1lgd007	23.14
gsed2510	gl1lgd008	NA
gsed2510	gl1lgd009	37.25
gsed2510	gl1lgd010	43.5
gsed2510	gl1lgd011	45.19
gsed2510	gl1lgd012	49.7
gsed2510	gl1lgd013	51.61
gsed2510	gl1lgd014	NA
gsed2510	gl1lgd015	53.59
gsed2510	gl1lgd016	53.65
gsed2510	gl1lgd017	58.41
gsed2510	gl1lgd018	56.51
gsed2510	gl1lgd019	59.42
gsed2510	gl1lgd020	58.3
gsed2510	gl1lgd021	63.01
gsed2510	gl1lgd022	60.15
gsed2510	gl1lgd023	61.92
gsed2510	gl1lgd024	57.14
gsed2510	gl1lgd025	62.57
gsed2510	gl1lgd026	63.75
gsed2510	gl1lgd027	64.31
gsed2510	gl1lgd028	63.56
gsed2510	gl1lgd029	65.46
gsed2510	gl1lgd030	65.48
gsed2510	gl1lgd031	66.89
gsed2510	gl1lgd032	66.85
gsed2510	gl1lgd033	67.09
gsed2510	gl1lgd034	68.22
gsed2510	gl1lgd035	68.33
gsed2510	gl1lgd036	70.12
gsed2510	gl1lgd037	73.14
gsed2510	gl1lgd038	75.16
gsed2510	gl1lgd039	70.14
gsed2510	gl1lgd040	75.57
gsed2510	gl1lgd041	71.19
gsed2510	gl1lgd042	77.24
gsed2510	gl1lgd043	74.41
gsed2510	gl1lgd044	76.13
gsed2510	gl1lgd045	73.97
gsed2510	gl1lgd046	77
gsed2510	gl1lgd047	73.22
gsed2510	gl1lgd048	74.4
gsed2510	gl1lgd049	71.94
gsed2510	gl1lgd050	74.13
gsed2510	gl1lgd051	79.6
gsed2510	gl1lgd052	81.07
gsed2510	gl1fmd001	7.17
gsed2510	gl1fmd002	13.15
gsed2510	gl1fmd003	21.04
gsed2510	gl1fmd004	25.48
gsed2510	gl1fmd005	26.77
gsed2510	gl1fmd006	27.96
gsed2510	gl1fmd007	NA
gsed2510	gl1fmd008	37.97
gsed2510	gl1fmd009	38.43
gsed2510	gl1fmd010	39.44
gsed2510	gl1fmd011	42.55
gsed2510	gl1fmd012	44.33
gsed2510	gl1fmd013	43.51
gsed2510	gl1fmd014	45.87
gsed2510	gl1fmd015	48.05
gsed2510	gl1fmd016	47.73
gsed2510	gl1fmd017	46.99
gsed2510	gl1fmd018	50.5
gsed2510	gl1fmd019	50.55
gsed2510	gl1fmd020	50.4
gsed2510	gl1fmd021	51.25
gsed2510	gl1fmd022	51.5
gsed2510	gl1fmd023	52.07
gsed2510	gl1fmd024	NA
gsed2510	gl1fmd025	53.56
gsed2510	gl1fmd026	55.02
gsed2510	gl1fmd027	55.89
gsed2510	gl1fmd028	58.38
gsed2510	gl1fmd029	59.14
gsed2510	gl1fmd030	60.35
gsed2510	gl1fmd031	62.76
gsed2510	gl1fmd032	NA
gsed2510	gl1fmd033	65.78
gsed2510	gl1fmd034	65.81
gsed2510	gl1fmd035	NA
gsed2510	gl1fmd036	66.36
gsed2510	gl1fmd037	69.11
gsed2510	gl1fmd038	67.26
gsed2510	gl1fmd039	NA
gsed2510	gl1fmd040	68.44
gsed2510	gl1fmd041	70.25
gsed2510	gl1fmd042	69.23
gsed2510	gl1fmd043	72.27
gsed2510	gl1fmd044	74.07
gsed2510	gl1fmd045	74.04
gsed2510	gl1fmd046	74.64
gsed2510	gl1fmd047	74.97
gsed2510	gl1fmd048	73.39
gsed2510	gl1fmd049	74.15
gsed2510	gl1fmd050	76.18
gsed2510	gl1fmd051	78.5
gsed2510	gl1fmd052	77.38
gsed2510	gl1fmd053	85.76
gsed2510	gl1fmd054	87.23
gsed2510	gs1sec001	2.56
gsed2510	gs1moc002	0.4
gsed2510	gs1sec003	3.12
gsed2510	gs1lgc004	NA
gsed2510	gs1moc005	5.33
gsed2510	gs1cgc006	7.94
gsed2510	gs1moc007	8.43
gsed2510	gs1moc008	7.78
gsed2510	gs1sec009	10.22
gsed2510	gs1lgc010	9.13
gsed2510	gs1sec011	7.11
gsed2510	gs1lgc012	9.93
gsed2510	gs1sec013	11.5
gsed2510	gs1lgc014	11.97
gsed2510	gs1moc015	13.98
gsed2510	gs1lgc016	13.24
gsed2510	gs1sec017	16.25
gsed2510	gs1moc018	15.69
gsed2510	gs1sec019	15.56
gsed2510	gs1lgc020	15.26
gsed2510	gs1sec021	17.24
gsed2510	gs1sec022	16.79
gsed2510	gs1lgc023	17.18
gsed2510	gs1sec024	17.18
gsed2510	gs1moc025	16.74
gsed2510	gs1lgc026	17.52
gsed2510	gs1sec027	21.47
gsed2510	gs1moc028	NA
gsed2510	gs1moc029	18.34
gsed2510	gs1moc030	21.2
gsed2510	gs1moc031	20.74
gsed2510	gs1cgc032	24.73
gsed2510	gs1moc033	24.14
gsed2510	gs1moc034	27.34
gsed2510	gs1moc035	26.13
gsed2510	gs1lic036	28.48
gsed2510	gs1lgc037	28.38
gsed2510	gs1moc038	28.33
gsed2510	gs1moc039	27.94
gsed2510	gs1moc040	28.35
gsed2510	gs1moc041	28.22
gsed2510	gs1cgc042	29.1
gsed2510	gs1moc043	29.71
gsed2510	gs1moc044	29.89
gsed2510	gs1moc045	31.03
gsed2510	gs1cgc046	31.58
gsed2510	gs1moc047	31.86
gsed2510	gs1moc048	31.92
gsed2510	gs1lgc049	34.08
gsed2510	gs1moc050	32.37
gsed2510	gs1moc051	33.83
gsed2510	gs1moc052	35.81
gsed2510	gs1lic053	35.67
gsed2510	gs1moc054	39.2
gsed2510	gs1moc055	37.97
gsed2510	gs1moc056	38.7
gsed2510	gs1moc057	39.8
gsed2510	gs1lgc058	42.11
gsed2510	gs1moc059	42.41
gsed2510	gs1moc060	42.95
gsed2510	gs1moc061	43.83
gsed2510	gs1lgc062	45.11
gsed2510	gs1sec063	NA
gsed2510	gs1moc064	46.38
gsed2510	gs1lic065	49.02
gsed2510	gs1moc066	48.16
gsed2510	gs1lic067	50
gsed2510	gs1moc068	47.67
gsed2510	gs1moc069	49.54
gsed2510	gs1moc070	49.3
gsed2510	gs1lgc071	49.74
gsed2510	gs1lgc072	50.47
gsed2510	gs1sec073	50.04
gsed2510	gs1moc074	49.56
gsed2510	gs1moc075	50.62
gsed2510	gs1moc076	50.16
gsed2510	gs1lic077	49.28
gsed2510	gs1moc078	51.28
gsed2510	gs1moc079	50.48
gsed2510	gs1moc080	52.34
gsed2510	gs1moc081	52.5
gsed2510	gs1sec082	52.45
gsed2510	gs1moc083	53.2
gsed2510	gs1lgc084	54.78
gsed2510	gs1cgc085	55.72
gsed2510	gs1lgc086	57.12
gsed2510	gs1lgc087	56.87
gsed2510	gs1lgc088	57.77
gsed2510	gs1moc089	58.07
gsed2510	gs1lic090	59.29
gsed2510	gs1moc091	57.6
gsed2510	gs1lic092	59.49
gsed2510	gs1sec093	58.4
gsed2510	gs1lgc094	59.21
gsed2510	gs1moc095	58.82
gsed2510	gs1moc096	58.87
gsed2510	gs1lgc097	61.19
gsed2510	gs1lgc098	60.55
gsed2510	gs1lgc099	62.18
gsed2510	gs1lgc100	61.11
gsed2510	gs1moc101	61.23
gsed2510	gs1sec102	60.64
gsed2510	gs1lic103	67.49
gsed2510	gs1lgc104	64.63
gsed2510	gs1lgc105	63.23
gsed2510	gs1lic106	63.78
gsed2510	gs1lgc107	63.75
gsed2510	gs1moc108	64.01
gsed2510	gs1lgc109	64.35
gsed2510	gs1lgc110	66.22
gsed2510	gs1sec111	66.47
gsed2510	gs1lgc112	67.22
gsed2510	gs1lgc113	65.23
gsed2510	gs1cgc114	67.49
gsed2510	gs1lgc115	66.67
gsed2510	gs1lic116	70.03
gsed2510	gs1lgc117	69
gsed2510	gs1lic118	69.4
gsed2510	gs1lgc119	67.89
gsed2510	gs1moc120	70.72
gsed2510	gs1lgc121	68.58
gsed2510	gs1cgc122	69.96
gsed2510	gs1lgc123	68.62
gsed2510	gs1sec124	71.32
