key	item	tau
gsed2510	by3gmd038	47.43
gsed2510	by3gmd039	45.32
gsed2510	by3gmd040	49.39
gsed2510	by3gmd041	51.82
gsed2510	by3gmd042	51.66
gsed2510	by3gmd043	53.03
gsed2510	by3gmd044	52.56
gsed2510	by3gmd045	51.4
gsed2510	by3gmd046	53.49
gsed2510	by3gmd047	55.21
gsed2510	by3gmd048	59.93
gsed2510	by3gmd049	57.24
gsed2510	by3gmd050	58.47
gsed2510	by3gmd051	61.58
gsed2510	by3gmd052	62.5
gsed2510	by3gmd053	63.8
gsed2510	by3gmd054	70.31
gsed2510	by3gmd055	59.17
gsed2510	by3gmd056	61.67
gsed2510	by3gmd057	68.99
gsed2510	by3gmd058	69.93
gsed2510	by3gmd059	73.02
gsed2510	by3gmd060	72.79
gsed2510	by3gmd061	74.07
gsed2510	by3gmd062	75.49
gsed2510	by3gmd063	73.19
gsed2510	by3gmd065	79.14
gsed2510	by3red006	19.89
gsed2510	by3red007	25.1
gsed2510	by3red008	30.55
gsed2510	by3red011	46.55
gsed2510	by3red014	50.49
gsed2510	by3red015	53.11
gsed2510	by3red016	57.78
gsed2510	by3red017	56.33
gsed2510	by3red019	58.99
gsed2510	by3red020	60.32
gsed2510	by3red021	60.27
gsed2510	by3red022	62.56
gsed2510	by3red023	63.95
gsed2510	by3red024	63.39
gsed2510	by3red025	65.82
gsed2510	by3red026	68.19
gsed2510	by3red027	73.12
gsed2510	by3red028	72.79
gsed2510	by3red029	72.48
gsed2510	by3red030	71.75
gsed2510	by3red031	74.62
gsed2510	by3red032	77.1
gsed2510	by3red033	75.6
gsed2510	by3red034	80.96
gsed2510	by3red036	79.54
gsed2510	by3red037	79.43
