phase1	phase2	gsed	gsed2	gsed3	gsed4	short1	short2	instrument	seq_phase1	seq_phase2	label
Ma_LF_A45	Ma_LF_A40	mdtgmd031	gtogmd045	gl1gmd040	lfagmd040	A45	A40	LF	45	40	A40 Hops forward on 1 foot 3 steps (2X)
Ma_LF_A42	Ma_LF_A41	kdigmd008	gtogmd042	gl1gmd041	lfagmd041	A42	A41	LF	42	41	A41 Jumps with both feet together (2X)
Ma_LF_A43	Ma_LF_A42	mdtgmd029	gtogmd043	gl1gmd042	lfagmd042	A43	A42	LF	43	42	A42 Jumps over a piece of paper (widthways) (2X)
Ma_LF_A48	Ma_LF_A43	kdigmd015	gtogmd048	gl1gmd043	lfagmd043	A48	A43	LF	48	43	A43 Walks along line heel-to-toe (2X)
Ma_LF_A41	Ma_LF_A44	mdtgmd023	gtogmd041	gl1gmd044	lfagmd044	A41	A44	LF	41	44	A44 Throws beanbag onto a cloth (3X)
Ma_LF_A44	Ma_LF_A45	mdtgmd027	gtogmd044	gl1gmd045	lfagmd045	A44	A45	LF	44	45	A45 Stands on 1 foot > 5 seconds (2X)
Ma_LF_A47	Ma_LF_A46	mdtgmd030	gtogmd047	gl1gmd046	lfagmd046	A47	A46	LF	47	46	A46 Walks on tiptoes 6 or more steps
Ma_LF_A35	Ma_LF_A47	kdigmd034	gtogmd035	gl1gmd047	lfagmd047	A35	A47	LF	35	47	A47 Moves from sitting to standing without using hands
Ma_LF_A46	Ma_LF_A48	mdtgmd032	gtogmd046	gl1gmd048	lfagmd048	A46	A48	LF	46	48	A48 Stands on 1 foot > 5 seconds (2X)
Ma_LF_A49	Ma_LF_A49	mdtgmd033	gtogmd049	gl1gmd049	lfagmd049	A49	A49	LF	49	49	A49 Throws ball up into the air and catches it (3X)
Ma_LF_B04	Ma_LF_B01	mdtlgd002	gtolgd004	gl1lgd001	lfblgd001	B04	B01	LF	53	50	B1  Makes sounds or vocalizes (2X)
Ma_LF_B01	Ma_LF_B02	ddicmm029	gtolgd001	gl1lgd002	lfblgd002	B01	B02	LF	50	51	B2  Reacts when spoken to (2X)
Ma_LF_B02	Ma_LF_B03	ddicmm030	gtolgd002	gl1lgd003	lfblgd003	B02	B03	LF	51	52	B3  Smiles in response (2X)
Ma_LF_B06	Ma_LF_B04	mdtlgd003	gtolgd006	gl1lgd004	lfblgd004	B06	B04	LF	55	53	B4  Laughs (2X)
Ma_LF_B03	Ma_LF_B05	mdtsed005	gtolgd003	gl1lgd005	lfblgd005	B03	B05	LF	52	54	B5  Calms and quiets with caregiver
Ma_LF_B07	Ma_LF_B06	sgrred006	gtolgd007	gl1lgd006	lfblgd006	B07	B06	LF	56	55	B6  Vocalizes when spoken to
Ma_LF_B05	Ma_LF_B07	denlgd007	gtolgd005	gl1lgd007	lfblgd007	B05	B07	LF	54	56	B7  Turns to voice (2X)
Ma_LF_B09	Ma_LF_B08	ddicmm034	gtolgd009	gl1lgd008	lfblgd008	B09	B08	LF	58	57	B8  Babbles while playing
Ma_LF_B08	Ma_LF_B09	dmclgd002	gtolgd008	gl1lgd009	lfblgd009	B08	B09	LF	57	58	B9  Repeats syllables
Ma_LF_B12	Ma_LF_B10	dmclgd005	gtolgd012	gl1lgd010	lfblgd010	B12	B10	LF	61	59	B10 Uses gestures to communicate
Ma_LF_B10	Ma_LF_B11	mdtlgd007	gtolgd010	gl1lgd011	lfblgd011	B10	B11	LF	59	60	B11 Uses 2 - 4 syllable babble
Ma_LF_B13	Ma_LF_B12	by1mdd089	gtolgd013	gl1lgd012	lfblgd012	B13	B12	LF	62	61	B12 Responds to verbal request (2X)
Ma_LF_B14	Ma_LF_B13	dmclgd006	gtolgd014	gl1lgd013	lfblgd013	B14	B13	LF	63	62	B13 Uses 1 definite word
Ma_LF_B11	Ma_LF_B14	mdtlgd008	gtolgd011	gl1lgd014	lfblgd014	B11	B14	LF	60	63	B14 Understands when being cautioned (2X)
Ma_LF_B15	Ma_LF_B15	by1mdd106	gtolgd015	gl1lgd015	lfblgd015	B15	B15	LF	64	64	B15 Imitates simple words (2X)
Ma_LF_B20	Ma_LF_B16	mdtlgd010	gtolgd020	gl1lgd016	lfblgd016	B20	B16	LF	69	65	B16 Follows simple commands (1 step) (2X)
Ma_LF_B21	Ma_LF_B17	by2mdd099	gtolgd021	gl1lgd017	lfblgd017	B21	B17	LF	70	66	B17 Points to 2 pictures
Ma_LF_B18	Ma_LF_B18	ddicmd141	gtolgd018	gl1lgd018	lfblgd018	B18	B18	LF	67	67	B18 Identifies 2 objects you name (2X)
Ma_LF_B26	Ma_LF_B19	mdtlgd016	gtolgd026	gl1lgd019	lfblgd019	B26	B19	LF	75	68	B19 Identifies 5 objects you name (2X)
Ma_LF_B17	Ma_LF_B20	by1mdd117	gtolgd017	gl1lgd020	lfblgd020	B17	B20	LF	66	69	B20 Identifies 1 item of clothing
Ma_LF_B22	Ma_LF_B21	by3red022	gtolgd022	gl1lgd021	lfblgd021	B22	B21	LF	71	70	B21 Identifies 3 items of clothing
Ma_LF_B29	Ma_LF_B22	mdtlgd018	gtolgd029	gl1lgd022	lfblgd022	B29	B22	LF	78	71	B22 Points to 1 or more body parts (2X)
Ma_LF_B25	Ma_LF_B23	ddicmd044	gtolgd025	gl1lgd023	lfblgd023	B25	B23	LF	74	72	B23 Points at 5 pictures in book
Ma_LF_B19	Ma_LF_B24	by3cgd059	gtolgd019	gl1lgd024	lfblgd024	B19	B24	LF	68	73	B24 Shows interest in story
Ma_LF_B23	Ma_LF_B25	mdtlgd015	gtolgd023	gl1lgd025	lfblgd025	B23	B25	LF	72	74	B25 Follows 2-step commands (2X)
Ma_LF_B24	Ma_LF_B26	ddicmm041	gtolgd024	gl1lgd026	lfblgd026	B24	B26	LF	73	75	B26 Says sentences with 2 words together
Ma_LF_B33	Ma_LF_B27	grihsd223	gtolgd033	gl1lgd027	lfblgd027	B33	B27	LF	82	76	B27 Names 4 pictures
Ma_LF_B16	Ma_LF_B28	grihsd208	gtolgd016	gl1lgd028	lfblgd028	B16	B28	LF	65	77	B28 Uses 5 clear words
Ma_LF_B32	Ma_LF_B29	by3cgd064	gtolgd032	gl1lgd029	lfblgd029	B32	B29	LF	81	78	B29 Matches pictures
Ma_LF_B27	Ma_LF_B30	mdtlgd019	gtolgd027	gl1lgd030	lfblgd030	B27	B30	LF	76	79	B30 Names 5 objects (2X)
Ma_LF_B36	Ma_LF_B31	by3exd029	gtolgd036	gl1lgd031	lfblgd031	B36	B31	LF	85	80	B31 Uses multiple-word utterances
Ma_LF_B28	Ma_LF_B32	mdtlgd017	gtolgd028	gl1lgd032	lfblgd032	B28	B32	LF	77	81	B32 Speaks clearly in sentences
Ma_LF_B31	Ma_LF_B33	mdtlgd021	gtolgd031	gl1lgd033	lfblgd033	B31	B33	LF	80	82	B33 Knows actions or functions of 3 or more objects
Ma_LF_B38	Ma_LF_B34	by3red028	gtolgd038	gl1lgd034	lfblgd034	B38	B34	LF	87	83	B34 Points to parts of whole objects
