phase1	phase2	gsed	gsed2	gsed3	gsed4	short1	short2	instrument	seq_phase1	seq_phase2	label
Ma_SF_C09	Ma_SF_C16	gsdlac004	gpalac009	gs1lgc016	sf_lgc016	SF009	SF016	SF	9	16	SF016 Does your child make sounds other than crying?
Ma_SF_C20	Ma_SF_C17	crosec004	gpasec020	gs1sec017	sf_sec017	SF020	SF017	SF	20	17	SF017 Does your child sometimes suck his/her thumb or fingers?
Ma_SF_C17	Ma_SF_C18	iyomoc002	gpamoc017	gs1moc018	sf_moc018	SF017	SF018	SF	17	18	SF018 While your child is on his/her back, can he/she bring his/her hands together such that hands touch each other ?
Ma_SF_C25	Ma_SF_C19	iyosec005	gpasec025	gs1sec019	sf_sec019	SF025	SF019	SF	25	19	SF019 Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?
Ma_SF_C19	Ma_SF_C20	iyolgc005	gpalgc019	gs1lgc020	sf_lgc020	SF019	SF020	SF	19	20	SF020 Does your child make noise or gesture to get your attention?
Ma_SF_C31	Ma_SF_C21	iyosec003	gpasec031	gs1sec021	sf_sec021	SF031	SF021	SF	31	21	SF021 If you play a game with your child, does he/she respond with interest? For example, if you play peek-a-boo, pat-a-cake, wave bye-bye, etc. does your child smile, widen their eyes, kick or move arms or vocalize?
Ma_SF_C33	Ma_SF_C22	croclc014	gpaclc033	gs1sec022	sf_sec022	SF033	SF022	SF	33	22	SF022 Does your child recognize you or other family members (e.g., smile when they enter a room or move toward them)?
Ma_SF_C23	Ma_SF_C23	croclc006	gpaclc023	gs1lgc023	sf_lgc023	SF023	SF023	SF	23	23	SF023 Does your child laugh?
Ma_SF_C32	Ma_SF_C24	crosec003	gpasec032	gs1sec024	sf_sec024	SF032	SF024	SF	32	24	SF024 Does your child smile or become excited when seeing someone familiar?
Ma_SF_C13	Ma_SF_C25	gsdgmc005	gpagmc013	gs1moc025	sf_moc025	SF013	SF025	SF	13	25	SF025 When your child is on his/her stomach, can he/she turn his/her head to the side?
Ma_SF_C22	Ma_SF_C26	iyolgc003	gpalgc022	gs1lgc026	sf_lgc026	SF022	SF026	SF	22	26	SF026 Does your child make sounds other than crying when LOOKING at toys or people?
Ma_SF_C45	Ma_SF_C27	iyosec006	gpasec045	gs1sec027	sf_sec027	SF045	SF027	SF	45	27	SF027 Is your child interested when he/she sees other children playing? Does she or he watch, smile, or look excited?
Ma_SF_C08	Ma_SF_C28	cromoc001	gpamoc008	gs1moc028	sf_moc028	SF008	SF028	SF	8	28	SF028 Does your child hold his/her hands in fists all the time?
Ma_SF_C24	Ma_SF_C29	iyomoc004	gpamoc024	gs1moc029	sf_moc029	SF024	SF029	SF	24	29	SF029 Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?
Ma_SF_C37	Ma_SF_C30	cromoc002	gpamoc037	gs1moc030	sf_moc030	SF037	SF030	SF	37	30	SF030 When held in a sitting position, can the child hold his/her head steady and straight?
Ma_SF_C18	Ma_SF_C31	gsdgmc006	gpagmc018	gs1moc031	sf_moc031	SF018	SF031	SF	18	31	SF031 When your child is on his/her stomach, can he/she hold his/her head up off the ground?
Ma_SF_C34	Ma_SF_C32	croclc004	gpaclc034	gs1cgc032	sf_cgc032	SF034	SF032	SF	34	32	SF032 Does your child show interest in new objects that are put in front of him/her by reaching out for them?
Ma_SF_C29	Ma_SF_C33	iyomoc005	gpamoc029	gs1moc033	sf_moc033	SF029	SF033	SF	29	33	SF033 When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.
Ma_SF_C30	Ma_SF_C34	gsdgmc007	gpagmc030	gs1moc034	sf_moc034	SF030	SF034	SF	30	34	SF034 Can your child roll from his/her back to stomach or stomach to his/her side?
Ma_SF_C35	Ma_SF_C35	iyomoc007	gpamoc035	gs1moc035	sf_moc035	SF035	SF035	SF	35	35	SF035 Can your child reach for AND HOLD an object, at least for a few seconds?
Ma_SF_C39	Ma_SF_C36	mdtsed006	gpasec039	gs1lic036	sf_lic036	SF039	SF036	SF	39	36	SF036 Can your child eat food from your fingers or off a spoon you hold?
Ma_SF_C27	Ma_SF_C37	iyolgc004	gpalgc027	gs1lgc037	sf_lgc037	SF027	SF037	SF	27	37	"SF037 Does your child make single sounds like ""buh"" or ""duh"" or ""muh""?"
Ma_SF_C44	Ma_SF_C38	iyomoc008	gpamoc044	gs1moc038	sf_moc038	SF044	SF038	SF	44	38	SF038 Can your child sit with support, either leaning against something (furniture or person), or by leaning forward on his or her hands?
Ma_SF_C28	Ma_SF_C39	iyomoc006	gpamoc028	gs1moc039	sf_moc039	SF028	SF039	SF	28	39	SF039 Does your child try to reach for objects that are in front of him/her by extending one or both arms?
Ma_SF_C40	Ma_SF_C40	cromoc012	gpamoc040	gs1moc040	sf_moc040	SF040	SF040	SF	40	40	SF040 Can your child pick up a small object (e.g., a small toy or small stone) using just one hand?
Ma_SF_C42	Ma_SF_C41	cromoc005	gpamoc042	gs1moc041	sf_moc041	SF042	SF041	SF	42	41	SF041 When lying on his/her stomach, can your child hold his/her head and chest off the ground using only his/her hands and arms for support?
Ma_SF_C41	Ma_SF_C42	iyomoc009	gpamoc041	gs1cgc042	sf_cgc042	SF041	SF042	SF	41	42	SF042 If an object falls to the ground out of view, does your child look for it?
Ma_SF_C43	Ma_SF_C43	cromoc009	gpamoc043	gs1moc043	sf_moc043	SF043	SF043	SF	43	43	SF043 When lying on his/her back, does the child grab his/her feet?
Ma_SF_C38	Ma_SF_C44	cromoc010	gpamoc038	gs1moc044	sf_moc044	SF038	SF044	SF	38	44	SF044 Can your child roll from his/her back to stomach, or stomach to back, on his/her own?
Ma_SF_C47	Ma_SF_C45	croclc007	gpaclc047	gs1moc045	sf_moc045	SF047	SF045	SF	47	45	SF045 Does your child play by tapping an object on the ground or a table?
Ma_SF_C46	Ma_SF_C46	croclc008	gpaclc046	gs1cgc046	sf_cgc046	SF046	SF046	SF	46	46	SF046 Does the child look for an object of interest when it is removed from sight or hidden from him/her (e.g., put under a cover, behind another object)?
Ma_SF_C49	Ma_SF_C47	cromoc011	gpamoc049	gs1moc047	sf_moc047	SF049	SF047	SF	49	47	SF047 Can your child hold him/herself in a sitting position without help or support for longer than a few seconds?
Ma_SF_C48	Ma_SF_C48	croclc011	gpaclc048	gs1moc048	sf_moc048	SF048	SF048	SF	48	48	SF048 Does your child intentionally move or change his/her position to get objects that are out of reach?
Ma_SF_C51	Ma_SF_C49	iyolgc006	gpalgc051	gs1lgc049	sf_lgc049	SF051	SF049	SF	51	49	SF049 Does your child make two similar sounds together like baba, mumu, pepe, didi (single consonant vowel combinations)?
Ma_SF_C36	Ma_SF_C50	aqigmc012	gpagmc036	gs1moc050	sf_moc050	SF036	SF050	SF	36	50	SF050 When you put your child on the floor, can she lean on her hands while sitting?
Ma_SF_C52	Ma_SF_C51	iyomoc012	gpamoc052	gs1moc051	sf_moc051	SF052	SF051	SF	52	51	SF051 Can your child pass a small object from one hand to the other?
Ma_SF_C50	Ma_SF_C52	iyomoc011	gpamoc050	gs1moc052	sf_moc052	SF050	SF052	SF	50	52	SF052 Can your child bang objects together, or bang an object on the table or on the ground?
Ma_SF_C64	Ma_SF_C53	mdtsed012	gpasec064	gs1lic053	sf_lic053	SF064	SF053	SF	64	53	SF053 Can your child pick up small bits of food and feed him/her-self using his/her hand?
Ma_SF_C58	Ma_SF_C54	cromoc022	gpamoc058	gs1moc054	sf_moc054	SF058	SF054	SF	58	54	SF054 Can your child pick up and drop a small object (e.g., a small toy or small stone) into a bucket or bowl while sitting?
Ma_SF_C54	Ma_SF_C55	cromoc015	gpamoc054	gs1moc055	sf_moc055	SF054	SF055	SF	54	55	SF055 Can your child maintain a standing position while holding on to a person or object (e.g., wall or furniture)?
Ma_SF_C53	Ma_SF_C56	cromoc019	gpamoc053	gs1moc056	sf_moc056	SF053	SF056	SF	53	56	SF056 Can your child pick up a small object (e.g., a piece of food, small toy or small stone) with just his/her thumb and one finger?
Ma_SF_C56	Ma_SF_C57	iyomoc016	gpamoc056	gs1moc057	sf_moc057	SF056	SF057	SF	56	57	SF057 Can your child pull themselves up from the floor while holding onto something? For example, can they pull themselves up using a chair, a person, or some other object?
Ma_SF_C59	Ma_SF_C58	crosec014	gpalgc059	gs1lgc058	sf_lgc058	SF059	SF058	SF	59	58	"SF058 Does your child stop what he/she is doing when you say ""Stop!"" even if just for a second?"
Ma_SF_C60	Ma_SF_C59	cromoc018	gpamoc060	gs1moc059	sf_moc059	SF060	SF059	SF	60	59	SF059 Can your child walk several steps while holding on to a person or object (e.g., wall or furniture)?
Ma_SF_C55	Ma_SF_C60	aqigmc021	gpagmc055	gs1moc060	sf_moc060	SF055	SF060	SF	55	60	SF060 While holding onto furniture, can your child bend down and pick up a small object from the floor and then return to a standing position?
Ma_SF_C57	Ma_SF_C61	aqigmc020	gpagmc057	gs1moc061	sf_moc061	SF057	SF061	SF	57	61	SF061 While holding onto furniture, does your child squat with control (without falling or flopping down)?
Ma_SF_C68	Ma_SF_C62	mdtlgd009	gpalgc068	gs1lgc062	sf_lgc062	SF068	SF062	SF	68	62	"SF062 Does your child make a gesture to indicate ""No"" (e.g., shaking head)?"
Ma_SF_C82	Ma_SF_C63	mdtsed016	gpasec082	gs1sec063	sf_sec063	SF082	SF063	SF	82	63	SF063 Even if your child is unable to do singing games, does he/she enjoy them and want to be a part of them?
Ma_SF_C61	Ma_SF_C64	iyomoc020	gpamoc061	gs1moc064	sf_moc064	SF061	SF064	SF	61	64	SF064 Can your child stand up without holding onto anything, even if just for a few seconds?
Ma_SF_C75	Ma_SF_C65	mdtsed013	gpasec075	gs1lic065	sf_lic065	SF075	SF065	SF	75	65	SF065 Does your child put his/her hands out to have them washed?
Ma_SF_C62	Ma_SF_C66	cromoc017	gpamoc062	gs1moc066	sf_moc066	SF062	SF066	SF	62	66	SF066 Can your child maintain a standing position on his/her own, without holding on or receiving support?
Ma_SF_C74	Ma_SF_C67	vinxxc007	gpaxxc074	gs1lic067	sf_lic067	SF074	SF067	SF	74	67	SF067 Can your child drink from an open cup without help?
Ma_SF_C65	Ma_SF_C68	iyomoc022	gpamoc065	gs1moc068	sf_moc068	SF065	SF068	SF	65	68	SF068 Can your child climb onto an object (rock, porch, step, chair, bed, low table, etc.)?
Ma_SF_C63	Ma_SF_C69	iyomoc021	gpamoc063	gs1moc069	sf_moc069	SF063	SF069	SF	63	69	SF069 Can your child make any light marks on paper or in dirt with a crayon or a stick?
Ma_SF_C70	Ma_SF_C70	iyomoc023	gpamoc070	gs1moc070	sf_moc070	SF070	SF070	SF	70	70	SF070 Can your child bend down or squat to pick up an object from the floor and then stand up again, without help from a person or object?
Ma_SF_C72	Ma_SF_C71	iyolgc013	gpalgc072	gs1lgc071	sf_lgc071	SF072	SF071	SF	72	71	SF071 Can your child follow a simple spoken command or direction without you making a gesture?
Ma_SF_C73	Ma_SF_C72	vinxxc006	gpaxxc073	gs1lgc072	sf_lgc072	SF073	SF072	SF	73	72	SF072 Can your child fetch something when asked?
Ma_SF_C86	Ma_SF_C73	mdtsed018	gpasec086	gs1sec073	sf_sec073	SF086	SF073	SF	86	73	SF073 Does your child share with others (e.g., food)?
Ma_SF_C66	Ma_SF_C74	iyomoc024	gpamoc066	gs1moc074	sf_moc074	SF066	SF074	SF	66	74	SF074 Can your child take several steps (3-5) forward without holding onto any person or object, even if they fall down immediately afterward?
Ma_SF_C76	Ma_SF_C75	iyomoc028	gpamoc076	gs1moc075	sf_moc075	SF076	SF075	SF	76	75	SF075 While standing, can your child purposefully throw the ball and not just drop it?
Ma_SF_C69	Ma_SF_C76	aqigmc026	gpagmc069	gs1moc076	sf_moc076	SF069	SF076	SF	69	76	SF076 Can your child stand up from sitting by himself and take several steps forward?
Ma_SF_C94	Ma_SF_C77	mdtsed021	gpasec094	gs1lic077	sf_lic077	SF094	SF077	SF	94	77	SF077 Can your child break off a piece of food and feed it to him/her-self?
Ma_SF_C71	Ma_SF_C78	iyomoc025	gpamoc071	gs1moc078	sf_moc078	SF071	SF078	SF	71	78	SF078 Can your child make a scribble on paper, or in dirt, in a back and forth manner? For example, can he or she move the pen or pencil or stick back and forth?
Ma_SF_C67	Ma_SF_C79	aqigmc027	gpagmc067	gs1moc079	sf_moc079	SF067	SF079	SF	67	79	SF079 Can your child move around by walking, rather than by crawling on his hands and knees?
Ma_SF_C77	Ma_SF_C80	iyomoc027	gpamoc077	gs1moc080	sf_moc080	SF077	SF080	SF	77	80	SF080 Can your child walk well, with coordination, without falling down often? With one foot in front of the other (rather than shifting weight side to side, stiff- legged)?
Ma_SF_C78	Ma_SF_C81	iyomoc030	gpamoc078	gs1moc081	sf_moc081	SF078	SF081	SF	78	81	SF081 Can your child stack at least two objects on top of each other, such as bottle tops, blocks, stones, etc.?
Ma_SF_C85	Ma_SF_C82	mdtsed017	gpasec085	gs1sec082	sf_sec082	SF085	SF082	SF	85	82	"SF082 Can your child greet people either by giving his/her hand or saying ""hello""? (use local examples of greeting)"
Ma_SF_C79	Ma_SF_C83	cromoc025	gpamoc079	gs1moc083	sf_moc083	SF079	SF083	SF	79	83	SF083 Can your child kick a ball or other round object forward using his/her foot?
Ma_SF_C89	Ma_SF_C84	croclc023	gpaclc089	gs1lgc084	sf_lgc084	SF089	SF084	SF	89	84	"SF084 Can your child say five or more separate words (e.g., names like ""Mama"" or objects like ""ball"")?"
Ma_SF_C81	Ma_SF_C85	iyolgc017	gpalgc081	gs1cgc085	sf_cgc085	SF081	SF085	SF	81	85	SF085 Can your child follow directions with more than one step? For example, 'Go to the kitchen and bring me a spoon'?
Ma_SF_C96	Ma_SF_C86	croclc028	gpaclc096	gs1lgc086	sf_lgc086	SF096	SF086	SF	96	86	SF086 Can your child correctly name at least one family member other than mom and dad (e.g., name of brother, sister, aunt, uncle)?
Ma_SF_C99	Ma_SF_C87	iyolgc022	gpalgc099	gs1lgc087	sf_lgc087	SF099	SF087	SF	99	87	SF087 Can your child identify at least seven objects? For example, when you ask 'where is the ball/spoon/cup/cloth/door/plate/bucket etc.' does your child look at or point to (or even name) the objects?
Ma_SF_C93	Ma_SF_C88	croclc025	gpaclc093	gs1lgc088	sf_lgc088	SF093	SF088	SF	93	88	SF088 Can your child ask for something (e.g., food, water) by name when he/she wants it?
Ma_SF_C84	Ma_SF_C89	iyomoc032	gpamoc084	gs1moc089	sf_moc089	SF084	SF089	SF	84	89	SF089 Can your child run well, without falling or bumping into objects?
Ma_SF_C92	Ma_SF_C90	vinxxc048	gpaxxc092	gs1lic090	sf_lic090	SF092	SF090	SF	92	90	SF090 Can your child wash hands by him/herself?
Ma_SF_C80	Ma_SF_C91	iyomoc031	gpamoc080	gs1moc091	sf_moc091	SF080	SF091	SF	80	91	SF091 While standing, can your child kick a ball by swinging his/her leg forward?
Ma_SF_C87	Ma_SF_C92	vinxxc021	gpaxxc087	gs1lic092	sf_lic092	SF087	SF092	SF	87	92	SF092 Does your child dry hands by herself/himself after you have washed them?
Ma_SF_C95	Ma_SF_C93	mdtsed023	gpasec095	gs1sec093	sf_sec093	SF095	SF093	SF	95	93	SF093 Does your child show independence (e.g., wants to go and visit a friend's house)?
Ma_SF_C101	Ma_SF_C94	croclc034	gpaclc101	gs1lgc094	sf_lgc094	SF101	SF094	SF	101	94	SF094 If you show your child an object he/she knows well (e.g., a cup or animal), can he/she consistently name it?
Ma_SF_C83	Ma_SF_C95	cromoc029	gpamoc083	gs1moc095	sf_moc095	SF083	SF095	SF	83	95	SF095 Can your child stack three or more small objects (e.g., blocks, cups, bottle caps) on top of each other?
Ma_SF_C97	Ma_SF_C96	cromoc031	gpamoc097	gs1moc096	sf_moc096	SF097	SF096	SF	97	96	SF096 Can your child walk on an uneven surface (e.g., a bumpy or steep road) without falling?
Ma_SF_C102	Ma_SF_C97	iyolgc023	gpalgc102	gs1lgc097	sf_lgc097	SF102	SF097	SF	102	97	SF097 Does your child usually communicate with words what he/she wants in a way that is understandable to others?
Ma_SF_C90	Ma_SF_C98	aqicmc033	gpacmc090	gs1lgc098	sf_lgc098	SF090	SF098	SF	90	98	"SF098 Can your child say ten or more words in addition to ""Mama"" and ""Dada""?"
Ma_SF_C98	Ma_SF_C99	iyolgc021	gpalgc098	gs1lgc099	sf_lgc099	SF098	SF099	SF	98	99	"SF099 When looking at pictures, if you say to your child ""what is this?"", can they say the name of the object that you point to?"
Ma_SF_C91	Ma_SF_C100	croclc024	gpaclc091	gs1lgc100	sf_lgc100	SF091	SF100	SF	91	100	SF100 Can your child speak using short sentences of two words that go together (e.g., 'Mama go' or 'Dada eat'?
Ma_SF_C110	Ma_SF_C101	cromoc033	gpamoc110	gs1moc101	sf_moc101	SF110	SF101	SF	110	101	SF101 Can your child unscrew the lid from a bottle or jar?
Ma_SF_C130	Ma_SF_C102	mdtsed029	gpasec130	gs1sec102	sf_sec102	SF130	SF102	SF	130	102	SF102 Does your child help out around the house with simple chores, even if he/she doesn't do them well? (use local examples of chores)
Ma_SF_C88	Ma_SF_C103	mdtsed019	gpasec088	gs1lic103	sf_lic103	SF088	SF103	SF	88	103	SF103 Is your child able to go poo or pee without having accidents (wetting or soiling themselves)?
Ma_SF_C112	Ma_SF_C104	croclc029	gpaclc112	gs1lgc104	sf_lgc104	SF112	SF104	SF	112	104	"SF104 Can your child speak using sentences of three or more words that go together (e.g., ""I want water"" or ""The house is big"")?"
Ma_SF_C100	Ma_SF_C105	croclc038	gpaclc100	gs1lgc105	sf_lgc105	SF100	SF105	SF	100	105	SF105 Can your child name at least two body parts (e.g., arm, eye, or nose)?
Ma_SF_C104	Ma_SF_C106	cromoc035	gpamoc104	gs1lic106	sf_lic106	SF104	SF106	SF	104	106	SF106 Can your child remove an item of clothing (e.g., take off his/her shirt)?
Ma_SF_C105	Ma_SF_C107	croclc027	gpaclc105	gs1lgc107	sf_lgc107	SF105	SF107	SF	105	107	"SF107 Can your child say 15 or more separate words (e.g., names like ""Mama"" or objects like ""ball"")?"
Ma_SF_C106	Ma_SF_C108	cromoc034	gpamoc106	gs1moc108	sf_moc108	SF106	SF108	SF	106	108	SF108 Can your child jump with both feet leaving the ground?
Ma_SF_C108	Ma_SF_C109	croclc032	gpaclc108	gs1lgc109	sf_lgc109	SF108	SF109	SF	108	109	SF109 Can your child tell you or someone familiar his/her own name [nickname] when asked to?
Ma_SF_C115	Ma_SF_C110	croclc042	gpaclc115	gs1lgc110	sf_lgc110	SF115	SF110	SF	115	110	"SF110 Can your child correctly ask questions using any of the words ""what"", ""which"", ""where"", or ""who""?"
Ma_SF_C137	Ma_SF_C111	mdtsed032	gpasec137	gs1sec111	sf_sec111	SF137	SF111	SF	137	111	SF111 Does your child show respect around elders?
Ma_SF_C113	Ma_SF_C112	croclc031	gpaclc113	gs1lgc112	sf_lgc112	SF113	SF112	SF	113	112	"SF112 Can your child correctly use any of the words ""I,"" ""you,"" ""she,"" or ""he"" (e.g., ""I go to store,"" or ""He eats rice"")?"
Ma_SF_C107	Ma_SF_C113	croclc037	gpaclc107	gs1lgc113	sf_lgc113	SF107	SF113	SF	107	113	SF113 Can your child sing a short song or repeat parts of a rhyme from memory by him/herself?
Ma_SF_C111	Ma_SF_C114	iyolgc026	gpalgc111	gs1cgc114	sf_cgc114	SF111	SF114	SF	111	114	"SF114 Does your child know the difference between the words ""big"" and ""small""? For example, if you ask, ""Give me the big spoon"" can your child understand which one to give if there are two different sizes?"
Ma_SF_C116	Ma_SF_C115	croclc046	gpaclc116	gs1lgc115	sf_lgc115	SF116	SF115	SF	116	115	SF115 Does your child pronounce most of his/her words correctly?
Ma_SF_C134	Ma_SF_C116	mdtsed033	gpasec134	gs1lic116	sf_lic116	SF134	SF116	SF	134	116	SF116 Can your child go to the toilet by him/her-self?
Ma_SF_C120	Ma_SF_C117	croclc049	gpaclc120	gs1lgc117	sf_lgc117	SF120	SF117	SF	120	117	"SF117 If you point to an object, can your child correctly use the words ""on,"" ""in,"" or ""under"" to describe where it is (e.g., ""The cup is on the table"" instead of ""The cup is in the table."")"
Ma_SF_C109	Ma_SF_C118	mdtsed026	gpasec109	gs1lic118	sf_lic118	SF109	SF118	SF	109	118	SF118 Can your child put on at least one piece of clothing by himself?
Ma_SF_C119	Ma_SF_C119	croclc039	gpaclc119	gs1lgc119	sf_lgc119	SF119	SF119	SF	119	119	SF119 Can your child explain in words what common objects like a cup or chair are used for?
Ma_SF_C103	Ma_SF_C120	iyomoc037	gpamoc103	gs1moc120	sf_moc120	SF103	SF120	SF	103	120	SF120 Can your child draw a straight line?
Ma_SF_C114	Ma_SF_C121	crosec042	gpasec114	gs1lgc121	sf_lgc121	SF114	SF121	SF	114	121	"SF121 Can your child say what he/she likes or dislikes (e.g., ""I like sweets"")?"
Ma_SF_C117	Ma_SF_C122	croclc035	gpaclc117	gs1cgc122	sf_cgc122	SF117	SF122	SF	117	122	SF122 If you show your child two objects or people of different size, can he/she tell you which one is the big one and which is the small one?
Ma_SF_C121	Ma_SF_C123	croclc050	gpaclc121	gs1lgc123	sf_lgc123	SF121	SF123	SF	121	123	"SF123 Does your child regularly use describing words such as ""fast,"" ""short,"" ""hot,"" ""fat,"" or ""beautiful"" correctly?"
Ma_SF_C123	Ma_SF_C124	mdtsed028	gpasec123	gs1sec124	sf_sec124	SF123	SF124	SF	123	124	SF124 Does your child know to keep quiet when the situation requires it? (e.g., at ceremonies, when someone is asleep)
Ma_SF_C124	Ma_SF_C125	croclc051	gpaclc124	gs1lgc125	sf_lgc125	SF124	SF125	SF	124	125	"SF125 Does your child ask ""why"" questions (e.g., ""Why are you tall?"")?"
Ma_SF_C135	Ma_SF_C126	iyomoc039	gpamoc135	gs1moc126	sf_moc126	SF135	SF126	SF	135	126	SF126 Can your child stand on one foot WITHOUT any support for at least a few seconds?
Ma_SF_C126	Ma_SF_C127	croclc043	gpaclc126	gs1cgc127	sf_cgc127	SF126	SF127	SF	126	127	SF127 If you ask your child to give you three objects (e.g., stones, beans), does the child give you the correct amount?
Ma_SF_C131	Ma_SF_C128	iyolgc029	gpalgc131	gs1cgc128	sf_cgc128	SF131	SF128	SF	131	128	SF128 Does your child understand the term 'longest'? For example, if you ask him/her to choose 'which is the longest of 3 objects?' (e.g. 3 spoons or sticks), would he/she be able to choose the longest?
Ma_SF_C138	Ma_SF_C129	croclc045	gpaclc138	gs1lgc129	sf_lgc129	SF138	SF129	SF	138	129	"SF129 Can your child talk about things that have happened in the past using correct language (e.g., ""Yesterday I played with my friend"" or ""Last week she went to the market"")?"
Ma_SF_C127	Ma_SF_C130	iyolgc030	gpalgc127	gs1lgc130	sf_lgc130	SF127	SF130	SF	127	130	SF130 Can your child tell a story?
Ma_SF_C125	Ma_SF_C131	crosec049	gpasec125	gs1sec131	sf_sec131	SF125	SF131	SF	125	131	SF131 Can your child tell you when he/she is happy, angry, or sad?
Ma_SF_C122	Ma_SF_C132	croclc044	gpaclc122	gs1cgc132	sf_cgc132	SF122	SF132	SF	122	132	SF132 Can the child name at least one color (e.g., red, blue, yellow)?
Ma_SF_C118	Ma_SF_C133	croclc041	gpaclc118	gs1cgc133	sf_cgc133	SF118	SF133	SF	118	133	SF133 Can your child count objects up to five  (e.g., fingers, people)?
Ma_SF_C133	Ma_SF_C134	iyomoc038	gpamoc133	gs1moc134	sf_moc134	SF133	SF134	SF	133	134	SF134 If you draw a circle can your child do it, just as you did?
Ma_SF_C128	Ma_SF_C135	crosec059	gpasec128	gs1sec135	sf_sec135	SF128	SF135	SF	128	135	SF135 Can your child tell you when others are happy, angry, or sad?
Ma_SF_C139	Ma_SF_C136	croclc048	gpaclc139	gs1lgc136	sf_lgc136	SF139	SF136	SF	139	136	"SF136 Can your child talk about things that will happen in the future using correct language (e.g., ""Tomorrow he will attend school"" or ""Next week we will go to the market"")?"
Ma_SF_C132	Ma_SF_C137	cromoc039	gpamoc132	gs1moc137	sf_moc137	SF132	SF137	SF	132	137	SF137 Can the child fasten and unfasten buttons without help?
Ma_SF_C129	Ma_SF_C138	iyomoc040	gpamoc129	gs1lic138	sf_lic138	SF129	SF138	SF	129	138	SF138 Can your child dress him/herself completely (except for shoelaces, buttons and zippers)?
Ma_SF_C136	Ma_SF_C139	crosec051	gpasec136	gs1sec139	sf_sec139	SF136	SF139	SF	136	139	"SF139 Can your child say what others like or dislike (e.g., ""Mama doesn't like fruit,"" ""Papa likes football"")?"
bsid_cog01	bsid_cog01	by3cgd001	by3cgd001	by3cgd001	by3cgd001	cog01	cog01	BSID			Calms when picked up
bsid_cog02	bsid_cog02	by3cgd002	by3cgd002	by3cgd002	by3cgd002	cog02	cog02	BSID			Responds to surroundings: inspects
bsid_cog03	bsid_cog03	by3cgd003	by3cgd003	by3cgd003	by3cgd003	cog03	cog03	BSID			Regards 3 sec
bsid_cog04	bsid_cog04	by3cgd004	by3cgd004	by3cgd004	by3cgd004	cog04	cog04	BSID			Habituates rattle
bsid_cog05	bsid_cog05	by3cgd005	by3cgd005	by3cgd005	by3cgd005	cog05	cog05	BSID			Discriminates between obj
bsid_cog06	bsid_cog06	by3cgd006	by3cgd006	by3cgd006	by3cgd006	cog06	cog06	BSID			Recog caregiver
bsid_cog07	bsid_cog07	by3cgd007	by3cgd007	by3cgd007	by3cgd007	cog07	cog07	BSID			Becomes excited antic
bsid_cog08	bsid_cog08	by3cgd008	by3cgd008	by3cgd008	by3cgd008	cog08	cog08	BSID			Regards object 5 sec
bsid_cog09	bsid_cog09	by3cgd009	by3cgd009	by3cgd009	by3cgd009	cog09	cog09	BSID			Reacts disappear face
bsid_cog10	bsid_cog10	by3cgd010	by3cgd010	by3cgd010	by3cgd010	cog10	cog10	BSID			Shifts attention
bsid_cog11	bsid_cog11	by3cgd011	by3cgd011	by3cgd011	by3cgd011	cog11	cog11	BSID			Shows visual pref
bsid_cog12	bsid_cog12	by3cgd012	by3cgd012	by3cgd012	by3cgd012	cog12	cog12	BSID			Habituates to object
bsid_cog13	bsid_cog13	by3cgd013	by3cgd013	by3cgd013	by3cgd013	cog13	cog13	BSID			Prefers novel obj
bsid_cog14	bsid_cog14	by3cgd014	by3cgd014	by3cgd014	by3cgd014	cog14	cog14	BSID			Habituates pict - balloons
bsid_cog15	bsid_cog15	by3cgd015	by3cgd015	by3cgd015	by3cgd015	cog15	cog15	BSID			Prefers novel pict
bsid_cog16	bsid_cog16	by3cgd016	by3cgd016	by3cgd016	by3cgd016	cog16	cog16	BSID			Explores object
bsid_cog17	bsid_cog17	by3cgd017	by3cgd017	by3cgd017	by3cgd017	cog17	cog17	BSID			Carries object to mouth
bsid_cog18	bsid_cog18	by3cgd018	by3cgd018	by3cgd018	by3cgd018	cog18	cog18	BSID			Inspects own hand
bsid_cog19	bsid_cog19	by3cgd019	by3cgd019	by3cgd019	by3cgd019	cog19	cog19	BSID			Mirror Image Series: Approaches
bsid_cog20	bsid_cog20	by3cgd020	by3cgd020	by3cgd020	by3cgd020	cog20	cog20	BSID			"Responds to surroundings; awareness of novelty"
bsid_cog21	bsid_cog21	by3cgd021	by3cgd021	by3cgd021	by3cgd021	cog21	cog21	BSID			Persistent reach
bsid_cog22	bsid_cog22	by3cgd022	by3cgd022	by3cgd022	by3cgd022	cog22	cog22	BSID			Mirror Image Series: Responds positively
bsid_cog23	bsid_cog23	by3cgd023	by3cgd023	by3cgd023	by3cgd023	cog23	cog23	BSID			Plays with string
bsid_cog24	bsid_cog24	by3cgd024	by3cgd024	by3cgd024	by3cgd024	cog24	cog24	BSID			Bangs in play
bsid_cog25	bsid_cog25	by3cgd025	by3cgd025	by3cgd025	by3cgd025	cog25	cog25	BSID			Searches for fallen object
bsid_cog26	bsid_cog26	by3cgd026	by3cgd026	by3cgd026	by3cgd026	cog26	cog26	BSID			Bell Series: Manipulates
