row	code	label	gsed	gsed2	p1	p2	instrument	domain	mode	number
50	Ma_LF_B01	B1  Makes sounds or vocalizes (2X)	mdtlgd002	gtolgd004	lf1	a_d	gl1	lg	d	1
51	Ma_LF_B02	B2  Reacts when spoken to (2X)	ddicmm029	gtolgd001	lf1	a_d	gl1	lg	d	2
52	Ma_LF_B03	B3  Smiles in response (2X)	ddicmm030	gtolgd002	lf1	a_d	gl1	lg	d	3
53	Ma_LF_B04	B4  Laughs (2X)	mdtlgd003	gtolgd006	lf1	a_d	gl1	lg	d	4
54	Ma_LF_B05	B5  Calms and quiets with caregiver	mdtsed005	gtolgd003	lf1	a_d	gl1	lg	d	5
55	Ma_LF_B06	B6  Vocalizes when spoken to	sgrred006	gtolgd007	lf1	a_d	gl1	lg	d	6
56	Ma_LF_B07	B7  Turns to voice (2X)	denlgd007	gtolgd005	lf1	a_d	gl1	lg	d	7
57	Ma_LF_B08	B8  Babbles while playing	ddicmm034	gtolgd009	lf1	a_d	gl1	lg	d	8
58	Ma_LF_B09	B9  Repeats syllables	dmclgd002	gtolgd008	lf1	a_d	gl1	lg	d	9
59	Ma_LF_B10	B10 Uses gestures to communicate	dmclgd005	gtolgd012	lf1	a_d	gl1	lg	d	10
60	Ma_LF_B11	B11 Uses 2 - 4 syllable babble	mdtlgd007	gtolgd010	lf1	a_d	gl1	lg	d	11
61	Ma_LF_B12	B12 Responds to verbal request (2X)	by1mdd089	gtolgd013	lf1	a_d	gl1	lg	d	12
62	Ma_LF_B13	B13 Uses 1 definite word	dmclgd006	gtolgd014	lf1	a_d	gl1	lg	d	13
63	Ma_LF_B14	B14 Understands when being cautioned (2X)	mdtlgd008	gtolgd011	lf1	a_d	gl1	lg	d	14
64	Ma_LF_B15	B15 Imitates simple words (2X)	by1mdd106	gtolgd015	lf1	a_d	gl1	lg	d	15
65	Ma_LF_B16	B16 Follows simple commands (1 step) (2X)	mdtlgd010	gtolgd020	lf1	a_d	gl1	lg	d	16
66	Ma_LF_B17	B17 Points to 2 pictures	by2mdd099	gtolgd021	lf1	a_d	gl1	lg	d	17
67	Ma_LF_B18	B18 Identifies 2 objects you name (2X)	ddicmd141	gtolgd018	lf1	a_d	gl1	lg	d	18
68	Ma_LF_B19	B19 Identifies 5 objects you name (2X)	mdtlgd016	gtolgd026	lf1	a_d	gl1	lg	d	19
69	Ma_LF_B20	B20 Identifies 1 item of clothing	by1mdd117	gtolgd017	lf1	a_d	gl1	lg	d	20
70	Ma_LF_B21	B21 Identifies 3 items of clothing	by3red022	gtolgd022	lf1	a_d	gl1	lg	d	21
71	Ma_LF_B22	B22 Points to 1 or more body parts (2X)	mdtlgd018	gtolgd029	lf1	a_d	gl1	lg	d	22
72	Ma_LF_B23	B23 Points at 5 pictures in book	ddicmd044	gtolgd025	lf1	a_d	gl1	lg	d	23
73	Ma_LF_B24	B24 Shows interest in story	by3cgd059	gtolgd019	lf1	a_d	gl1	lg	d	24
74	Ma_LF_B25	B25 Follows 2-step commands (2X)	mdtlgd015	gtolgd023	lf1	a_d	gl1	lg	d	25
75	Ma_LF_B26	B26 Says sentences with 2 words together	ddicmm041	gtolgd024	lf1	a_d	gl1	lg	d	26
76	Ma_LF_B27	B27 Names 4 pictures	grihsd223	gtolgd033	lf1	a_d	gl1	lg	d	27
77	Ma_LF_B28	B28 Uses 5 clear words	grihsd208	gtolgd016	lf1	a_d	gl1	lg	d	28
78	Ma_LF_B29	B29 Matches pictures	by3cgd064	gtolgd032	lf1	a_d	gl1	lg	d	29
79	Ma_LF_B30	B30 Names 5 objects (2X)	mdtlgd019	gtolgd027	lf1	a_d	gl1	lg	d	30
80	Ma_LF_B31	B31 Uses multiple-word utterances	by3exd029	gtolgd036	lf1	a_d	gl1	lg	d	31
81	Ma_LF_B32	B32 Speaks clearly in sentences	mdtlgd017	gtolgd028	lf1	a_d	gl1	lg	d	32
82	Ma_LF_B33	B33 Knows actions or functions of 3 or more objects	mdtlgd021	gtolgd031	lf1	a_d	gl1	lg	d	33
83	Ma_LF_B34	B34 Points to parts of whole objects	by3red028	gtolgd038	lf1	a_d	gl1	lg	d	34
84	Ma_LF_B35	B35 Says first name (2X)	mdtlgd020	gtolgd030	lf1	a_d	gl1	lg	d	35
85	Ma_LF_B36	B36 Names 10 objects (2X)	mdtlgd023	gtolgd035	lf1	a_d	gl1	lg	d	36
86	Ma_LF_B37	"B27 Understands ""more"" (2X)"	teplgd018	gtolgd047	lf1	a_d	gl1	lg	d	37
87	Ma_LF_B38	B38 Identifies 2 or more colours (2X)	teplgd032	gtolgd043	lf1	a_d	gl1	lg	d	38
88	Ma_LF_B39	B39 Knows use of objects (2X)	grihsd303	gtolgd045	lf1	a_d	gl1	lg	d	39
89	Ma_LF_B40	B40 Names at least 2 colours (2X)	teplgd031	gtolgd049	lf1	a_d	gl1	lg	d	40
90	Ma_LF_B41	B41 Identifies 5 action pictures	by3red029	gtolgd034	lf1	a_d	gl1	lg	d	41
91	Ma_LF_B42	B42 Identifies at least 2 shapes (2X)	teplgd034	gtolgd048	lf1	a_d	gl1	lg	d	42
92	Ma_LF_B43	B43 Talks easily about daily events	ddicmm047	gtolgd037	lf1	a_d	gl1	lg	d	43
93	Ma_LF_B44	B44 Describes picture (2X)	teplgd035	gtolgd042	lf1	a_d	gl1	lg	d	44
94	Ma_LF_B45	B45 Gives logical response to a question (2X)	teplgd281	gtolgd039	lf1	a_d	gl1	lg	d	45
95	Ma_LF_B46	B46 Categorizes things	mdtlgd024	gtolgd040	lf1	a_d	gl1	lg	d	46
96	Ma_LF_B47	B47 Matches 3 colours (2X)	by3cgd068	gtolgd041	lf1	a_d	gl1	lg	d	47
97	Ma_LF_B48	"B48 Understands adjective ""faster"" (2X)"	mdtlgd029	gtolgd044	lf1	a_d	gl1	lg	d	48
98	Ma_LF_B49	B49 Names actions (5)	by3exd037	gtolgd046	lf1	a_d	gl1	lg	d	49
99	Ma_LF_B50	B50 Taps with 2 blocks	sbiwmd007	gtolgd050	lf1	a_d	gl1	lg	d	50
100	Ma_LF_B51	B51 Taps with 4 blocks	sbiwmd008	gtolgd051	lf1	a_d	gl1	lg	d	51
101	Ma_LF_B52	B52 Taps with 8 blocks	sbiwmd009	gtolgd052	lf1	a_d	gl1	lg	d	52
102	Ma_LF_C01	C1  Fixates eyes (2X)	ddifmd001	gtofmd001	lf1	a_d	gl1	fm	d	1
103	Ma_LF_C02	C2  Responds to sound (2X)	mdtlgd001	gtofmd002	lf1	a_d	gl1	fm	d	2
104	Ma_LF_C03	C3  Fixes and follows - 180 degrees	mdtfmd002	gtofmd003	lf1	a_d	gl1	fm	d	3
105	Ma_LF_C04	C4  Manipulates cup OR spoon in play	sgrred018	gtofmd007	lf1	a_d	gl1	fm	d	4
106	Ma_LF_C05	C5  Shows interest in making a sound (2X)	by1mdd072	gtofmd004	lf1	a_d	gl1	fm	d	5
107	Ma_LF_C06	C6  Turns head towards fallen object (2X)	by1mdd062	gtofmd006	lf1	a_d	gl1	fm	d	6
108	Ma_LF_C07	C7  Discriminates strangers	by1mdd058	gtofmd005	lf1	a_d	gl1	fm	d	7
109	Ma_LF_C08	C8  Picks up cup to get block	by1mdd088	gtofmd010	lf1	a_d	gl1	fm	d	8
110	Ma_LF_C09	C9  Finds toy under cloth (2X)	mdtfmd012	gtofmd013	lf1	a_d	gl1	fm	d	9
111	Ma_LF_C10	C10 Pulls string to get object (2X)	by1mdd080	gtofmd009	lf1	a_d	gl1	fm	d	10
112	Ma_LF_C11	C11 Lifts cup by the handle (2X)	by1mdd073	gtofmd008	lf1	a_d	gl1	fm	d	11
113	Ma_LF_C12	C12 Puts block in cup (2X)	denfmd014	gtofmd011	lf1	a_d	gl1	fm	d	12
114	Ma_LF_C13	C13 Bangs 2 objects together	denfmd013	gtofmd012	lf1	a_d	gl1	fm	d	13
115	Ma_LF_C14	C14 Pats toy to make noise (2X	by1mdd104	gtofmd014	lf1	a_d	gl1	fm	d	14
116	Ma_LF_C15	C15 Makes marks with crayon (2X)	dmcfmd009	gtofmd017	lf1	a_d	gl1	fm	d	15
117	Ma_LF_C16	C16 Puts 3 or more blocks in cup	by1mdd100	gtofmd015	lf1	a_d	gl1	fm	d	16
118	Ma_LF_C17	C17 Puts blocks in jar	mdtfmd016	gtofmd023	lf1	a_d	gl1	fm	d	17
119	Ma_LF_C18	C18 Puts 1 peg in again (2X)	by1mdd108	gtofmd021	lf1	a_d	gl1	fm	d	18
120	Ma_LF_C19	C19 Scribbles in any way (2X)	denfmd015	gtofmd020	lf1	a_d	gl1	fm	d	19
121	Ma_LF_C20	C20 Accepts third block without dropping (2X)	gricgd023	gtofmd022	lf1	a_d	gl1	fm	d	20
122	Ma_LF_C21	C21 Uses objects in play by him-/herself (2X)	by3cgd048	gtofmd027	lf1	a_d	gl1	fm	d	21
123	Ma_LF_C22	C22 Manages a cup well	dmcsld019	gtofmd018	lf1	a_d	gl1	fm	d	22
124	Ma_LF_C23	C23 Holds crayon with fingers, not fist (2X)	by1mdd098	gtofmd019	lf1	a_d	gl1	fm	d	23
125	Ma_LF_C24	C24 Repeats something when encouraged (2X)	by1mdd097	gtofmd016	lf1	a_d	gl1	fm	d	24
126	Ma_LF_C25	C25 Dumps blocks out of jar purposefully (2X)	mdtfmd017	gtofmd025	lf1	a_d	gl1	fm	d	25
127	Ma_LF_C26	C26 Builds tower of 2 blocks (2X)	ddifmd013	gtofmd024	lf1	a_d	gl1	fm	d	26
128	Ma_LF_C27	C27 Puts pegs in board < 2 minutes (2X)	mdtfmd021	gtofmd032	lf1	a_d	gl1	fm	d	27
129	Ma_LF_C28	C28 Builds tower of 3 blocks (2X)	by1mdd119	gtofmd028	lf1	a_d	gl1	fm	d	28
130	Ma_LF_C29	C29 Finds object under 2 alternating cups (3X)	by1mdd131	gtofmd026	lf1	a_d	gl1	fm	d	29
131	Ma_LF_C30	C30 Inserts 2 shapes in board (2X)	gricgd213	gtofmd033	lf1	a_d	gl1	fm	d	30
132	Ma_LF_C31	C31 Inserts 3 shapes in board in 2 minutes (2X)	by3cgd056	gtofmd035	lf1	a_d	gl1	fm	d	31
133	Ma_LF_C32	C32 Uses objects in play with someone (2X)	by3cgd053	gtofmd031	lf1	a_d	gl1	fm	d	32
134	Ma_LF_C33	C33 Scribbles on paper (circular scribble)	mdtfmd019	gtofmd030	lf1	a_d	gl1	fm	d	33
135	Ma_LF_C34	C34 Builds tower of 6 blocks (2X)	mdtfmd023	gtofmd037	lf1	a_d	gl1	fm	d	34
136	Ma_LF_C35	"C35 Understands the concept of ""1"" (2X)"	mdtfmd022	gtofmd029	lf1	a_d	gl1	fm	d	35
137	Ma_LF_C36	C36 Inserts 3 shapes in rotated board in 2 minutes (2X)	by3cgd060	gtofmd036	lf1	a_d	gl1	fm	d	36
138	Ma_LF_C37	C37 Builds truck/lorry of blocks (2X)	by3fmd044	gtofmd043	lf1	a_d	gl1	fm	d	37
139	Ma_LF_C38	C38 Unscrews and screws lid of jar (2X)	mdtfmd025	gtofmd040	lf1	a_d	gl1	fm	d	38
140	Ma_LF_C39	C39 Engages in representational play	by3cgd065	gtofmd041	lf1	a_d	gl1	fm	d	39
141	Ma_LF_C40	C40 Inserts 3 shapes in 15 seconds (2X)	sbivsd003	gtofmd039	lf1	a_d	gl1	fm	d	40
142	Ma_LF_C41	C41 Copies 2-part activity (3X)	by3cgd067	gtofmd042	lf1	a_d	gl1	fm	d	41
143	Ma_LF_C42	C42 Puts pegs in board in < 30 seconds (2X)	mdtfmd024	gtofmd038	lf1	a_d	gl1	fm	d	42
144	Ma_LF_C43	C43 Draws horizontal line (2X)	griehd301	gtofmd045	lf1	a_d	gl1	fm	d	43
145	Ma_LF_C44	"C44 Understands ""more"" (3X-5X)"	by3cgd089	gtofmd034	lf1	a_d	gl1	fm	d	44
146	Ma_LF_C45	C45 Imitates building bridge (2X)	ddifmd023	gtofmd044	lf1	a_d	gl1	fm	d	45
147	Ma_LF_C46	C46 Picks longest stick 3 of 3 (3X-5X)	mdtfmd028	gtofmd046	lf1	a_d	gl1	fm	d	46
148	Ma_LF_C47	C47 Copies a circle	ddifmd026	gtofmd049	lf1	a_d	gl1	fm	d	47
149	Ma_LF_C48	C48 Builds wall of blocks (2X)	by3fmd050	gtofmd048	lf1	a_d	gl1	fm	d	48
150	Ma_LF_C49	C49 Understands concept of size (2X)	by3cgd073	gtofmd051	lf1	a_d	gl1	fm	d	49
151	Ma_LF_C50	C50 Understands prepositions (2X)	mdtlgd031	gtofmd047	lf1	a_d	gl1	fm	d	50
152	Ma_LF_C51	C51 Copies a cross or plus sign (2X)	mdtfmd033	gtofmd050	lf1	a_d	gl1	fm	d	51
153	Ma_LF_C52	C52 Counts 3 or more objects	mdtlgd033	gtofmd054	lf1	a_d	gl1	fm	d	52
154	Ma_LF_C53	C53 Copies a square (2X)	mdtfmd034	gtofmd053	lf1	a_d	gl1	fm	d	53
155	Ma_LF_C54	C54 Draws 3 or more body parts	denfmd024	gtofmd052	lf1	a_d	gl1	fm	d	54
156	Ma_SF_C001	Does your child smile?	mdtsed001	gpasec004	sf1	__c	gs1	se	c	1
157	Ma_SF_C002	When lying on his/her back, does your child move his/her arms and legs?	cromoc008	gpamoc006	sf1	__c	gs1	mo	c	2
158	Ma_SF_C003	Does your child look at your face when you speak to him/her?	crosec002	gpasec015	sf1	__c	gs1	se	c	3
